Areaname,Land Area
Dougherty_Georgia_UnitedStates,328.69
Douglas_Georgia_UnitedStates,200.07
Early_Georgia_UnitedStates,512.59
Echols_Georgia_UnitedStates,414.89
Effingham_Georgia_UnitedStates,477.7
Elbert_Georgia_UnitedStates,351.06
Emanuel_Georgia_UnitedStates,680.6
Evans_Georgia_UnitedStates,182.85
Fannin_Georgia_UnitedStates,386.72
Fayette_Georgia_UnitedStates,194.34
Floyd_Georgia_UnitedStates,509.91
Forsyth_Georgia_UnitedStates,224.02
Franklin_Georgia_UnitedStates,261.5
Fulton_Georgia_UnitedStates,526.64
Gilmer_Georgia_UnitedStates,426.54
Glascock_Georgia_UnitedStates,143.74
Glynn_Georgia_UnitedStates,419.75
Gordon_Georgia_UnitedStates,355.81
Grady_Georgia_UnitedStates,454.53
Greene_Georgia_UnitedStates,387.44
Gwinnett_Georgia_UnitedStates,430.38
Habersham_Georgia_UnitedStates,276.74
Hall_Georgia_UnitedStates,392.78
Hancock_Georgia_UnitedStates,471.84
Haralson_Georgia_UnitedStates,282.17
Harris_Georgia_UnitedStates,463.87
Hart_Georgia_UnitedStates,232.39
Heard_Georgia_UnitedStates,296.03
Henry_Georgia_UnitedStates,322.13
Houston_Georgia_UnitedStates,375.54
Irwin_Georgia_UnitedStates,354.34
Jackson_Georgia_UnitedStates,339.66
Jasper_Georgia_UnitedStates,368.17
Jeff Davis_Georgia_UnitedStates,330.74
Jefferson_Georgia_UnitedStates,526.49
Jenkins_Georgia_UnitedStates,347.28
Johnson_Georgia_UnitedStates,303.01
Jones_Georgia_UnitedStates,393.93
Lamar_Georgia_UnitedStates,183.5
Lanier_Georgia_UnitedStates,185.26
Laurens_Georgia_UnitedStates,807.3
Lee_Georgia_UnitedStates,355.78
Liberty_Georgia_UnitedStates,489.8
Lincoln_Georgia_UnitedStates,210.38
Long_Georgia_UnitedStates,400.29
Lowndes_Georgia_UnitedStates,496.07
Lumpkin_Georgia_UnitedStates,282.93
McDuffie_Georgia_UnitedStates,257.46
McIntosh_Georgia_UnitedStates,424.3
Macon_Georgia_UnitedStates,400.64
Madison_Georgia_UnitedStates,282.31
Marion_Georgia_UnitedStates,366.0
Meriwether_Georgia_UnitedStates,501.22
Miller_Georgia_UnitedStates,282.42
Mitchell_Georgia_UnitedStates,512.09
Monroe_Georgia_UnitedStates,395.66
Montgomery_Georgia_UnitedStates,239.52
Morgan_Georgia_UnitedStates,347.35
Murray_Georgia_UnitedStates,344.47
Muscogee_Georgia_UnitedStates,216.39
Newton_Georgia_UnitedStates,272.16
Oconee_Georgia_UnitedStates,184.29
Oglethorpe_Georgia_UnitedStates,439.01
Paulding_Georgia_UnitedStates,312.22
Peach_Georgia_UnitedStates,150.27
Pickens_Georgia_UnitedStates,232.06
Pierce_Georgia_UnitedStates,316.49
Pike_Georgia_UnitedStates,216.09
Polk_Georgia_UnitedStates,310.33
Pulaski_Georgia_UnitedStates,249.03
Putnam_Georgia_UnitedStates,344.64
Quitman_Georgia_UnitedStates,151.24
Rabun_Georgia_UnitedStates,369.99
Randolph_Georgia_UnitedStates,428.24
Richmond_Georgia_UnitedStates,324.33
Rockdale_Georgia_UnitedStates,129.79
Schley_Georgia_UnitedStates,166.91
Screven_Georgia_UnitedStates,645.1
Seminole_Georgia_UnitedStates,235.23
Spalding_Georgia_UnitedStates,196.47
Stephens_Georgia_UnitedStates,179.13
Stewart_Georgia_UnitedStates,458.73
Sumter_Georgia_UnitedStates,482.7
Talbot_Georgia_UnitedStates,391.39
Taliaferro_Georgia_UnitedStates,194.61
Tattnall_Georgia_UnitedStates,479.4
Taylor_Georgia_UnitedStates,376.69
Telfair_Georgia_UnitedStates,437.3
Terrell_Georgia_UnitedStates,335.44
Thomas_Georgia_UnitedStates,544.6
Tift_Georgia_UnitedStates,258.92
Toombs_Georgia_UnitedStates,364.01
Towns_Georgia_UnitedStates,166.56
Treutlen_Georgia_UnitedStates,199.44
Troup_Georgia_UnitedStates,413.99
Turner_Georgia_UnitedStates,285.39
Twiggs_Georgia_UnitedStates,358.4
Union_Georgia_UnitedStates,321.93
Upson_Georgia_UnitedStates,323.44
Walker_Georgia_UnitedStates,446.38
Walton_Georgia_UnitedStates,325.68
Ware_Georgia_UnitedStates,892.46
Warren_Georgia_UnitedStates,284.3
Washington_Georgia_UnitedStates,678.45
Wayne_Georgia_UnitedStates,641.78
Webster_Georgia_UnitedStates,209.12
Wheeler_Georgia_UnitedStates,295.48
White_Georgia_UnitedStates,240.69
Whitfield_Georgia_UnitedStates,290.46
Wilcox_Georgia_UnitedStates,377.71
Wilkes_Georgia_UnitedStates,469.49
Wilkinson_Georgia_UnitedStates,447.31
Worth_Georgia_UnitedStates,570.7
Hawaii_Hawaii_UnitedStates,4028.42
Honolulu_Hawaii_UnitedStates,600.74
Kalawao_Hawaii_UnitedStates,11.99
Kauai_Hawaii_UnitedStates,619.96
Maui_Hawaii_UnitedStates,1161.52
Ada_Idaho_UnitedStates,1052.58
Adams_Idaho_UnitedStates,1363.06
Bannock_Idaho_UnitedStates,1111.99
Bear Lake_Idaho_UnitedStates,974.79
Benewah_Idaho_UnitedStates,776.62
Bingham_Idaho_UnitedStates,2093.98
Blaine_Idaho_UnitedStates,2643.59
Boise_Idaho_UnitedStates,1899.24
Bonner_Idaho_UnitedStates,1734.57
Bonneville_Idaho_UnitedStates,1866.08
Boundary_Idaho_UnitedStates,1268.56
Butte_Idaho_UnitedStates,2231.67
Camas_Idaho_UnitedStates,1074.49
Canyon_Idaho_UnitedStates,587.37
Caribou_Idaho_UnitedStates,1764.15
Cassia_Idaho_UnitedStates,2565.08
Clark_Idaho_UnitedStates,1764.19
Clearwater_Idaho_UnitedStates,2457.27
Custer_Idaho_UnitedStates,4920.94
Elmore_Idaho_UnitedStates,3074.74
Franklin_Idaho_UnitedStates,663.65
Fremont_Idaho_UnitedStates,1863.53
Gem_Idaho_UnitedStates,560.9
Gooding_Idaho_UnitedStates,728.97
Idaho_Idaho_UnitedStates,8477.35
Jefferson_Idaho_UnitedStates,1093.5
Jerome_Idaho_UnitedStates,597.19
Kootenai_Idaho_UnitedStates,1244.13
Latah_Idaho_UnitedStates,1076.0
Lemhi_Idaho_UnitedStates,4563.39
Lewis_Idaho_UnitedStates,478.8
Lincoln_Idaho_UnitedStates,1201.41
Madison_Idaho_UnitedStates,469.21
Minidoka_Idaho_UnitedStates,757.59
Nez Perce_Idaho_UnitedStates,848.09
Oneida_Idaho_UnitedStates,1200.06
Owyhee_Idaho_UnitedStates,7665.51
Payette_Idaho_UnitedStates,406.87
Power_Idaho_UnitedStates,1404.24
Shoshone_Idaho_UnitedStates,2629.67
Teton_Idaho_UnitedStates,449.46
Twin Falls_Idaho_UnitedStates,1921.21
Valley_Idaho_UnitedStates,3664.52
Washington_Idaho_UnitedStates,1452.98
Adams_Illinois_UnitedStates,855.2
Alexander_Illinois_UnitedStates,235.51
Bond_Illinois_UnitedStates,380.28
Boone_Illinois_UnitedStates,280.72
Brown_Illinois_UnitedStates,305.61
Bureau_Illinois_UnitedStates,869.03
Calhoun_Illinois_UnitedStates,253.83
Carroll_Illinois_UnitedStates,444.81
Cass_Illinois_UnitedStates,375.82
Champaign_Illinois_UnitedStates,996.27
Christian_Illinois_UnitedStates,709.38
Clark_Illinois_UnitedStates,501.42
Clay_Illinois_UnitedStates,468.32
Clinton_Illinois_UnitedStates,474.09
Coles_Illinois_UnitedStates,508.29
Cook_Illinois_UnitedStates,945.33
Crawford_Illinois_UnitedStates,443.63
Cumberland_Illinois_UnitedStates,346.02
DeKalb_Illinois_UnitedStates,631.31
De Witt_Illinois_UnitedStates,397.51
Douglas_Illinois_UnitedStates,416.67
DuPage_Illinois_UnitedStates,327.5
Edgar_Illinois_UnitedStates,623.37
Edwards_Illinois_UnitedStates,222.42
Effingham_Illinois_UnitedStates,478.78
Fayette_Illinois_UnitedStates,716.48
Ford_Illinois_UnitedStates,485.62
Franklin_Illinois_UnitedStates,408.89
Fulton_Illinois_UnitedStates,865.6
Gallatin_Illinois_UnitedStates,323.07
Greene_Illinois_UnitedStates,543.02
Grundy_Illinois_UnitedStates,418.04
Hamilton_Illinois_UnitedStates,434.67
Hancock_Illinois_UnitedStates,793.73
Hardin_Illinois_UnitedStates,177.53
Henderson_Illinois_UnitedStates,378.87
Henry_Illinois_UnitedStates,822.99
Iroquois_Illinois_UnitedStates,1117.32
Jackson_Illinois_UnitedStates,584.08
Jasper_Illinois_UnitedStates,494.51
Jefferson_Illinois_UnitedStates,571.17
Jersey_Illinois_UnitedStates,369.27
Jo Daviess_Illinois_UnitedStates,601.09
Johnson_Illinois_UnitedStates,343.92
Kane_Illinois_UnitedStates,520.06
Kankakee_Illinois_UnitedStates,676.56
Kendall_Illinois_UnitedStates,320.34
Knox_Illinois_UnitedStates,716.4
Lake_Illinois_UnitedStates,443.67
LaSalle_Illinois_UnitedStates,1135.12
Lawrence_Illinois_UnitedStates,372.18
Lee_Illinois_UnitedStates,724.9
Livingston_Illinois_UnitedStates,1044.29
Logan_Illinois_UnitedStates,618.06
McDonough_Illinois_UnitedStates,589.41
McHenry_Illinois_UnitedStates,603.17
McLean_Illinois_UnitedStates,1183.38
Macon_Illinois_UnitedStates,580.69
Macoupin_Illinois_UnitedStates,862.91
Madison_Illinois_UnitedStates,715.58
Marion_Illinois_UnitedStates,572.36
Marshall_Illinois_UnitedStates,386.79
Mason_Illinois_UnitedStates,539.24
